id,name,profile_path,known_for_department,popularity
448,힐러리 스웽크,/uin6aAehUGpPCiJCaSjZG8B7M7d.jpg,Acting,5.2746
449,제이 바루첼,/1GYJeQzPcY9Pfmc3FFsBwClkCv7.jpg,Acting,2.0304
450,마이크 콜터,/9LG9AzoY2ak6M2kwhKlGkLOUUot.jpg,Acting,2.3015
451,Lucia Rijker,/6v7Ec32c70aJWJqkuq4UrMxxEj7.jpg,Acting,0.3884
452,마고 마틴데일,/6ANuYnZZJTuQLL4bbt8vH1qDYje.jpg,Acting,1.8756
453,리키 린드홈,/kJAGFp0ZW5sY0NoysFZcfSRykZa.jpg,Acting,1.499
454,마이클 페냐,/afs4PCiwn8LR93a10drULLVeVLo.jpg,Acting,3.795
455,폴 해기스,/bO2CPKFOtv1uigPM8crWTC071wr.jpg,Writing,0.9269
468,스티븐 달드리,/jJSZVEOIyZnT70lUILjS9YVv0pb.jpg,Directing,0.9292
477,줄리 월터스,/bCTkV2OUgzbJdQEoCk3GesE4DXq.jpg,Acting,3.6832
478,제이미 벨,/xAfNYOJYOy5ee9PHbBF8Y6xzZ9I.jpg,Acting,3.0686
480,게리 루이스,/cOaibfAluUeWPtcSOjedfGXn9ym.jpg,Acting,1.0723
486,Wallace Wolodarsky,/a6npTg5wUQIHkyH17m5FPc9hJPV.jpg,Writing,0.7508
488,스티븐 스필버그,/tZxcg19YQ3e8fJ0pOs7hjlnmmr6.jpg,Directing,7.1096
489,캐슬린 케네디,/ndgYlie0PHkyqEiEBGM8SqrPOkr.jpg,Production,0.9366
491,존 윌리엄스,/wswitHP5jQNvsIxd6Yypa1Crmn1.jpg,Sound,2.238
500,톰 크루즈,/maf8PhSvDCdEwjEMbYfGpojR5RP.jpg,Acting,14.7572
501,다코타 패닝,/hwcO08SVWkelfvgfIa5HsTMxsK8.jpg,Acting,5.5677
502,미란다 오토,/szME1IBVTLgiKrO5D5wvOGnvUDW.jpg,Acting,2.2074
503,Justin Chatwin,/nEHYlooGSwRzkhze1rQ7DOpJXLD.jpg,Acting,1.6901
504,팀 로빈스,/3FfJMIVwXgsIXbAT8ECBSZJAncR.jpg,Acting,3.2469
505,Camillia Monet,/xWKuB83H6BBdTmgeAzsKz8XLnkx.jpg,Acting,0.3093
506,John Scurti,/g9xeW1p3Zxe3yK0GJqg42zX6Ulz.jpg,Acting,0.7462
508,데이비드 코엡,/is3t4k8OMX0KNCD3EilDWOucYZG.jpg,Writing,1.431
510,팀 버튼,/wcjuY5vD1nlfwWNbvvTGg5dGoRR.jpg,Directing,3.1904
511,Larry Franco,/s4lknJYgrQ2b62IX0hC1wkvOs2u.jpg,Production,0.536
514,잭 니콜슨,/hBHcQIEa6P48HQAlLZkh0eKSSkG.jpg,Acting,4.3259
515,글렌 클로즈,/4VHZ1GfLwN7MUgApy0LCBzdDF9L.jpg,Acting,3.9097
516,아네트 베닝,/kGslMAWcpv8MKzODhDRDkFE0uX7.jpg,Acting,6.634
517,피어스 브로스넌,/dzXVwwJLPwiZeXOnf7YxorqVEEM.jpg,Acting,6.6777
518,대니 드비토,/6kO4IN7ndoIGw2JhyhAQN3SFmdx.jpg,Acting,5.2514
519,마틴 쇼트,/vWoZIOk7K8TSKu1IN90akswsWjZ.jpg,Acting,5.1586
520,사라 제시카 파커,/tEhHY7Uyn8VktwLhawBRuR0tdaJ.jpg,Acting,7.5863
521,마이클 J. 폭스,/2JB4FMgQmnhbBlQ4SxWFN9EIVDi.jpg,Acting,2.9258
522,Rod Steiger,/70bE5PZJbRHxG4th6gDvXGgXu4Z.jpg,Acting,1.2875
523,톰 존스,/gP3WE86AGBTP70wuW083UcgymaG.jpg,Acting,0.6734
524,나탈리 포트만,/edPU5HxncLWa1YkgRPNkSd68ONG.jpg,Acting,7.9738
525,크리스토퍼 놀란,/xuAIuYSmsUzKlUMBFGVZaWsY3DZ.jpg,Directing,8.6485
